tributo	IPTUcorr
01/01/2020	21376,89
01/02/2020	41832,60
01/03/2020	1663832,69
01/04/2020	33505347,02
01/05/2020	20718642,98
01/06/2020	4775240,02
01/07/2020	3827232,73
01/08/2020	3669804,29
01/09/2020	3256045,40
01/10/2020	3250406,34
01/11/2020	2917645,79
01/12/2020	3276475,74
01/01/2021	21713,93
01/02/2021	65869,70
01/03/2021	1411783,99
01/04/2021	58924463,55
01/05/2021	4702374,50
01/06/2021	3898363,56
01/07/2021	3640913,84
01/08/2021	3278091,05
01/09/2021	2970921,67
01/10/2021	2864215,42
01/11/2021	2959546,87
01/12/2021	3236153,30
01/01/2022	204079,19
01/02/2022	288022,95
01/03/2022	6835485,75
01/04/2022	55476560,01
01/05/2022	4523031,35
01/06/2022	4125807,37
01/07/2022	3577505,00
01/08/2022	3420054,40
01/09/2022	3348773,36
01/10/2022	3095280,37
01/11/2022	2783825,49
01/12/2022	3103566,50
01/01/2023	44515238,40
01/02/2023	532801,49
01/03/2023	2671243,96
01/04/2023	23683926,04
01/05/2023	3686988,02
01/06/2023	3376097,02
01/07/2023	3098674,05
01/08/2023	2895672,92
01/09/2023	2533404,17
01/10/2023	2520640,74
01/11/2023	2692883,27
01/12/2023	2667128,96
01/01/2024	2710564,83
01/02/2024	1982367,00
01/03/2024	9015673,78
01/04/2024	54008343,38
01/05/2024	4571623,38
01/06/2024	4187848,05
01/07/2024	3939612,31
01/08/2024	3740859,38
01/09/2024	3239528,97
01/10/2024	3249468,78
01/11/2024	3024348,76
01/12/2024	3036529,53
01/01/2025	1587212,85
01/02/2025	5015956,77
